age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud,Month,Day,Year
31,1,0.0,54,34334,0,1,1,50021,2,2,0,0.0,99,0,1,4377.06677,4.0,1,39690.17106,5,36871.25589,0,11,9,2016
25,0,1.0,63,32198,1,0,1,50037,2,2,0,0.0,3,2,1,5008.710647999999,3.0,1,14384.63542,5,13442.96322,0,8,10,2016
61,0,1.0,63,41096,0,1,0,20102,3,0,0,0.0,10,2,1,1030.329791,2.0,0,10009.81448,0,18607.51792,0,10,6,2016
52,1,0.0,77,39518,1,1,1,85001,2,0,0,1.0,56,0,1,3525.337269,5.0,0,10051.54238,4,15224.04461,0,9,9,2015
38,0,1.0,68,36379,1,1,0,85007,1,1,1,0.0,31,1,1,4508.980957,5.0,2,14478.51109,6,30075.23322,1,5,26,2015
88,1,1.0,59,44773,0,1,1,0,6,0,0,0.0,23,0,0,5444.281501,5.0,2,19978.05576,0,11283.39888,0,7,10,2016
63,0,1.0,61,41455,0,1,0,20101,2,1,1,1.0,4,0,1,2424.271624,4.0,0,32856.15681,2,29174.54455,0,1,7,2015
30,1,1.0,87,34004,1,0,0,85018,4,2,0,0.0,17,2,1,2753.6263670000003,6.0,1,8228.290199,5,44265.32375,0,9,18,2015
36,1,1.0,67,35843,1,1,0,20118,3,1,0,0.0,41,2,0,3841.021836,3.0,0,20687.15313,0,53795.90043,0,6,18,2015
51,0,1.0,66,39334,0,1,0,80033,4,1,0,0.0,17,0,1,3950.265136,6.0,0,21073.618130000003,3,34627.75463,0,6,12,2015
41,1,1.0,78,37158,0,0,1,85013,0,2,0,0.0,100,0,0,2837.148684,7.0,1,31747.57138,5,7997.868153,0,10,3,2016
19,1,1.0,80,29441,0,1,1,85024,5,1,1,1.0,31,1,1,7255.337702,7.0,2,21698.17217,1,40270.56014,0,12,17,2016
28,0,1.0,86,33318,1,0,0,15004,3,1,2,1.0,81,1,1,10319.11823,7.0,0,15140.34124,0,47339.60552,0,1,22,2015
50,1,1.0,83,39134,1,1,0,85076,2,2,0,0.0,37,0,0,3792.144688,2.0,0,9216.305343,1,7727.625126000001,0,3,23,2016
23,0,1.0,51,31390,1,0,0,85064,0,1,0,1.0,47,1,1,3910.043486,5.0,0,11211.55708,0,10547.72345,0,12,5,2016
30,1,1.0,77,34023,1,1,1,50033,0,0,0,0.0,1,2,1,3827.518937,7.0,0,26572.61061,4,23380.18236,0,1,18,2016
44,0,0.0,72,37829,0,1,0,85015,5,2,0,0.0,50,0,0,10455.1638,3.0,2,10133.5933,4,11188.41528,0,6,13,2015
44,0,1.0,63,37844,1,0,0,50025,0,1,2,0.0,40,0,0,5472.292198,4.0,1,29429.54675,3,25552.84718,0,11,23,2015
53,0,1.0,58,39715,1,0,0,80002,5,2,1,1.0,49,0,1,4615.515275,8.0,2,86037.3093,2,9782.01738,0,2,20,2016
55,1,1.0,74,40061,1,0,1,80047,1,1,1,0.0,39,2,1,8042.97037,13.0,1,15503.18869,0,32483.70799,0,10,20,2015
41,1,1.0,76,37107,1,1,0,85079,4,1,0,1.0,32,0,0,4704.313513,3.0,1,14346.832669999998,4,24710.67361,0,7,17,2015
55,1,0.0,60,40079,1,0,0,80011,4,1,0,1.0,20,0,1,1241.822943,6.0,1,19529.47121,0,55783.927070000005,0,5,27,2016
27,1,1.0,29,32968,0,0,1,80038,6,1,1,0.0,26,2,1,4521.0690460000005,3.0,1,26882.07644,0,21554.1703,0,2,15,2015
56,0,0.0,96,40268,1,1,0,85027,0,1,2,1.0,65,2,1,6592.710556,3.0,1,11177.91486,3,32595.54155,1,8,8,2016
36,0,1.0,84,35841,1,1,0,80106,1,0,0,1.0,1,0,1,4716.736981,5.0,2,13459.83983,1,14720.0568,0,12,8,2015
24,0,1.0,78,31787,0,0,1,50011,6,2,0,0.0,77,1,0,5284.496654,6.0,0,19645.6226,1,12662.02792,0,6,28,2015
30,1,0.0,75,34018,1,1,0,80014,5,1,0,0.0,84,0,1,2604.491735,10.0,1,17591.502,5,6554.817938,0,3,14,2015
44,0,1.0,91,37835,1,1,0,15049,5,2,0,0.0,0,0,0,4028.178155,6.0,1,13172.54115,1,15777.75426,0,6,11,2016
29,0,1.0,85,33685,0,0,0,85014,2,1,0,1.0,4,1,1,3257.147474,7.0,2,9704.070756,0,33931.44847,0,7,1,2015
100,0,1.0,83,46066,1,1,0,85007,4,1,0,1.0,34,2,1,4112.137481000001,5.0,1,20972.91258,6,16141.8914,0,1,22,2016
71,0,1.0,79,42635,1,1,1,80019,0,1,1,1.0,28,2,1,5957.851963,10.0,2,22552.59794,2,15694.25644,0,5,30,2016
29,1,1.0,71,33664,1,0,0,50056,2,2,1,0.0,1,2,1,6750.221608,8.0,2,31446.6312,5,27728.21099,0,4,22,2015
30,0,0.0,75,34002,1,0,0,80002,1,0,1,0.0,68,0,0,5245.813985,4.0,0,40918.48225,1,17860.42406,0,8,11,2015
39,0,1.0,82,36623,1,1,1,50010,6,0,0,1.0,67,2,1,7501.199318000001,4.0,1,33858.43711,5,30680.01903,0,7,12,2015
36,0,0.0,79,35838,1,1,0,20119,4,0,0,1.0,50,0,0,4149.712475,5.0,0,44156.42459,3,20491.69374,0,2,13,2015
40,0,1.0,80,36893,1,0,1,50042,4,2,0,0.0,88,0,1,3320.91703,3.0,0,26698.182,1,13637.63992,0,3,27,2015
58,1,0.0,84,40596,1,1,0,15060,2,2,4,0.0,2,0,1,5392.341433,5.0,0,14909.45286,4,55030.16438,0,9,7,2016
47,1,1.0,60,38511,1,1,1,20101,5,2,0,0.0,95,0,0,5600.957211,9.0,0,16197.813080000002,5,26539.32679,0,7,23,2016
51,1,1.0,70,39297,0,1,1,50032,1,1,0,1.0,96,2,1,5109.360054,2.0,1,32159.03245,4,15648.585819999998,0,9,6,2016
48,1,1.0,82,38713,0,0,1,50037,5,1,0,0.0,97,0,0,4657.881078,7.0,0,32789.92679,6,61207.41733,0,4,18,2015
46,1,1.0,62,38271,0,0,1,20159,1,1,2,0.0,25,0,1,3058.910985,6.0,0,12428.17742,5,20407.874,1,3,24,2015
37,1,1.0,79,36104,1,1,0,15059,6,1,0,0.0,78,0,1,5901.8184,6.0,2,36563.92481,6,41287.3173,1,12,18,2016
64,0,0.0,57,41575,0,1,0,85064,4,1,0,0.0,21,0,1,4554.759257,5.0,1,27028.40241,5,9814.190642,0,7,17,2015
69,1,1.0,73,42345,1,0,0,80031,0,0,0,0.0,4,0,0,5160.853387,3.0,0,41791.88213,6,21689.62725,0,1,18,2016
52,1,1.0,58,39510,1,0,0,20163,0,2,0,0.0,86,0,1,2036.454337,5.0,0,20393.94068,4,29611.81509,0,5,18,2015
70,1,0.0,79,42467,1,1,1,20135,1,1,0,0.0,51,0,1,4166.487902000001,0.0,2,11106.64286,2,20837.39166,0,7,14,2015
49,1,1.0,59,38919,1,1,1,15035,5,2,0,0.0,5,0,1,2021.041998,6.0,1,32047.010260000003,1,23431.6063,0,4,18,2015
42,0,1.0,96,37373,1,0,0,20140,0,1,0,0.0,46,2,1,6243.454129,4.0,1,26255.58243,2,6793.806847,0,10,19,2015
45,0,0.0,92,38043,1,1,0,50032,6,0,0,0.0,99,0,0,2474.518949,9.0,0,26092.34425,4,53386.2824,0,5,17,2015
29,0,1.0,84,33680,0,1,1,15017,0,2,1,0.0,87,2,0,4789.964282,7.0,2,21591.44743,1,9262.558804,1,12,28,2015
31,0,1.0,84,34348,0,0,0,80030,0,1,2,1.0,36,0,1,5488.409774000001,4.0,2,11371.1674,0,35366.20268,0,5,16,2016
38,0,0.0,67,36382,1,1,1,20120,1,2,0,0.0,57,0,0,7715.050914,1.0,1,15254.75775,6,29094.02693,0,11,17,2015
51,0,1.0,86,39313,1,1,0,85011,5,0,0,0.0,74,0,0,3004.51342,3.0,1,21761.8285,6,23072.2853,0,11,12,2016
51,0,1.0,68,39316,0,0,1,15026,2,1,1,0.0,2,0,1,5088.004761,4.0,2,9777.83498,4,7256.834659,0,7,29,2015
43,1,1.0,81,37600,1,1,1,15021,3,1,0,1.0,42,0,1,7734.007990000001,10.0,0,19580.8394,0,45516.61227,0,6,9,2016
39,1,1.0,92,36640,1,0,0,50040,6,1,0,0.0,90,2,0,4970.936529,8.0,0,16870.97338,1,19086.29137,0,8,16,2015
72,1,1.0,42,42761,1,0,1,50042,0,2,0,0.0,45,2,0,3950.245776,3.0,1,34221.498360000005,6,53897.01787,0,9,28,2015
63,1,0.0,54,41429,1,1,0,20163,6,1,0,1.0,50,0,1,8006.104259999999,3.0,2,31777.53566,2,16453.91579,0,5,10,2015
35,0,1.0,61,35551,0,1,1,50047,5,1,1,0.0,66,0,1,3716.759991,4.0,0,36214.58398,0,29731.70069,1,10,3,2015
53,1,1.0,60,39692,0,1,1,20109,5,1,2,0.0,1,2,0,4437.509352,3.0,0,17587.744169999998,1,14635.84511,0,9,17,2016
40,1,1.0,77,36875,1,0,1,50001,2,0,0,0.0,73,0,1,7406.761179999999,5.0,2,29045.95008,0,19306.40909,0,3,9,2016
35,0,0.0,79,35549,1,1,0,50021,1,0,2,0.0,5,0,1,8398.628623999999,8.0,0,18046.04891,0,41770.092,1,9,22,2015
37,0,1.0,88,36089,1,1,1,15021,1,1,0,0.0,50,1,0,6921.724902,6.0,2,40682.89269,1,49219.60311,1,8,18,2015
43,0,1.0,52,37618,0,1,0,15028,0,1,0,1.0,49,0,1,1486.570053,2.0,1,20774.68087,5,25559.92934,1,8,10,2015
53,1,1.0,96,39724,0,1,0,50028,5,0,2,0.0,0,2,0,7817.664683,6.0,1,19602.0972,0,40844.849010000005,0,10,24,2015
63,1,0.0,82,41424,0,1,1,50058,3,2,0,0.0,80,0,0,4759.721661,3.0,2,38089.47811,6,9692.020463,0,11,12,2015
41,0,1.0,50,37145,1,0,0,20109,5,1,0,0.0,45,2,0,4935.088049,6.0,1,7712.253689,1,20347.93057,0,2,6,2016
55,0,1.0,69,40069,1,0,0,80016,3,2,1,0.0,16,0,1,5628.7848030000005,1.0,2,21589.03348,5,19563.21147,0,4,14,2016
50,0,0.0,88,39108,1,1,1,20113,3,0,1,1.0,92,0,0,4515.677267,5.0,2,22496.91692,3,7550.047104,0,10,15,2015
41,1,1.0,68,37134,0,1,1,50021,1,0,0,1.0,57,2,0,5737.170623,8.0,2,21752.33037,5,23342.70185,0,3,31,2015
28,0,1.0,87,33326,1,1,1,50005,3,1,0,0.0,100,1,1,6677.5339890000005,2.0,0,18222.10924,4,36902.38969,0,2,12,2015
38,0,0.0,44,36376,1,0,0,20132,0,2,0,0.0,2,0,0,3198.782837,8.0,2,9517.592951,2,6894.582404000001,1,3,14,2016
54,1,1.0,77,39890,1,1,1,85063,0,1,0,0.0,33,0,1,4446.251939,9.0,1,30199.41705,4,45186.35656,0,7,13,2015
43,0,1.0,80,37630,1,1,1,15046,1,1,0,0.0,0,2,1,5889.809757,7.0,0,23661.08659,5,13342.26796,0,12,1,2015
56,0,1.0,69,40254,1,1,1,80011,0,1,3,1.0,26,2,1,3757.089986,5.0,1,27941.63503,3,14594.79154,0,12,19,2016
60,1,1.0,76,40942,1,1,0,80004,1,1,0,0.0,61,0,0,3186.079237,7.0,1,15574.387669999998,0,14370.63595,0,4,5,2016
28,0,0.0,82,33331,0,1,0,80030,6,0,1,0.0,0,2,1,4355.932864,5.0,0,24251.06915,4,4950.711232,0,6,21,2015
38,1,1.0,71,36388,1,0,0,80044,6,1,0,0.0,50,0,0,3555.307468,3.0,0,24741.11566,3,12497.04627,0,7,26,2015
54,0,1.0,60,39916,0,0,1,20110,1,0,0,0.0,71,0,1,3825.802588000001,7.0,0,8725.206448,5,9448.346103,0,12,8,2015
26,1,0.0,76,32575,1,1,1,80025,6,2,0,0.0,28,1,1,4620.738658,12.0,2,14668.630969999998,4,24334.25316,1,5,1,2016
37,1,1.0,69,36114,1,1,0,85009,4,1,0,1.0,100,0,1,7966.968145999999,3.0,2,20833.83,0,14756.421019999998,0,4,8,2016
38,1,1.0,47,36372,1,0,1,15059,3,0,1,0.0,2,2,1,5712.114911,6.0,1,9479.793599,0,11000.19311,0,7,23,2015
48,0,0.0,79,38698,1,1,0,85011,3,0,0,0.0,0,0,1,1844.690885,7.0,0,39303.85935,2,19575.29179,0,6,2,2016
39,1,1.0,43,36635,1,0,0,15034,3,0,0,0.0,61,2,0,6969.9587790000005,6.0,1,11653.76397,6,47740.08177,0,10,29,2015
27,1,0.0,80,32964,1,1,1,20165,4,2,0,0.0,50,1,0,5544.882824,3.0,0,20001.1868,1,23798.2189,0,5,13,2016
66,1,1.0,59,41910,1,1,1,20153,5,1,1,0.0,50,0,1,3946.441937,3.0,2,27534.54985,5,10012.8951,1,5,2,2015
30,0,1.0,84,34029,1,1,1,50009,2,1,0,1.0,95,0,0,1721.150214,7.0,2,10760.46735,2,26592.49334,0,10,19,2016
40,0,0.0,88,36874,0,0,0,15025,6,2,0,0.0,52,0,0,2546.936561,4.0,0,33415.09855,3,17288.91053,0,9,27,2015
41,1,1.0,63,37127,1,1,0,80025,0,2,0,0.0,67,2,1,4574.406099,4.0,1,19390.21364,4,15785.29516,0,6,20,2016
60,0,1.0,88,40948,1,1,1,20124,6,1,0,1.0,97,0,1,1833.191236,1.0,0,10556.60691,0,28582.64732,0,7,5,2015
42,1,0.0,69,37370,1,0,1,15020,4,2,3,1.0,85,0,1,3716.955085,8.0,2,23122.491680000003,1,75560.31184,0,8,19,2016
28,0,0.0,69,33325,1,0,1,15012,1,1,1,1.0,23,1,1,4228.770431,1.0,2,34682.413960000005,2,42182.01498,0,7,21,2015
50,1,1.0,74,39119,1,1,0,15012,4,1,3,1.0,39,0,1,5349.214209000001,3.0,1,10741.73328,4,23096.51765,0,8,5,2016
48,0,1.0,75,38701,1,0,1,50044,5,2,0,0.0,52,0,0,3974.211994,5.0,2,19559.48956,3,13503.77682,0,3,14,2015
27,1,0.0,81,32960,0,1,1,15057,4,1,1,0.0,49,1,0,2797.458954,5.0,2,16891.39315,3,25793.90557,1,3,27,2015
59,0,1.0,91,40780,1,1,1,15005,2,0,0,0.0,100,0,1,4786.297732999999,4.0,2,12743.02614,1,21388.68497,0,1,21,2015
36,0,1.0,48,35850,1,1,1,80035,3,1,0,1.0,98,2,0,3733.668724,5.0,1,17182.7309,1,12388.02786,0,2,12,2015
52,1,0.0,77,39526,1,0,0,85021,3,2,0,1.0,77,0,1,11984.33053,7.0,2,14026.44121,2,25332.880080000003,0,9,15,2016
44,1,1.0,64,37836,0,1,1,15035,3,2,1,1.0,2,2,1,7203.103779000001,7.0,1,36409.24178,3,13449.54138,0,4,16,2015
27,1,1.0,47,32949,1,0,1,50003,6,2,0,0.0,90,2,0,12119.74378,7.0,2,37967.74399,0,53713.46973,0,10,16,2016
34,1,1.0,91,35292,0,1,1,15059,2,1,0,1.0,33,0,1,4238.494903,7.0,1,22620.2878,2,16819.073809999998,0,10,14,2015
43,1,1.0,73,37616,1,0,0,15020,5,1,0,0.0,50,2,1,6449.423935,3.0,2,17864.02248,3,31716.128460000004,0,3,26,2016
29,1,0.0,86,33680,1,0,1,50011,4,1,0,0.0,80,1,1,5840.383919,4.0,0,15356.51134,1,28986.22665,0,2,6,2015
58,1,1.0,95,40595,0,0,1,85001,2,1,1,1.0,1,0,1,3867.288897,2.0,2,3414.1032700000005,6,25887.88466,0,5,4,2016
52,1,1.0,69,39511,1,0,1,80044,1,1,1,0.0,63,2,0,5301.053351,5.0,0,17016.47307,0,9530.497071,0,3,10,2015
32,1,0.0,87,34654,0,0,0,85048,6,1,0,0.0,0,0,0,6483.9416280000005,6.0,2,37196.65157,0,23845.00255,1,1,10,2016
35,1,1.0,81,35556,1,1,1,80020,2,1,0,0.0,9,2,1,5707.347475,4.0,0,32806.02234,3,49949.78472,0,1,6,2016
24,1,1.0,81,31782,1,0,1,85035,2,2,2,0.0,99,1,0,3227.183006,4.0,0,35052.7206,0,37998.16669,0,11,16,2016
32,0,1.0,87,34661,1,0,0,50056,4,2,0,0.0,14,2,0,9071.201407,3.0,2,10950.17936,6,27026.93012,0,1,16,2015
38,0,1.0,81,36385,0,1,1,80044,6,0,0,0.0,100,2,0,2285.18968,6.0,1,15388.09717,2,20597.40119,1,5,24,2015
36,0,1.0,68,35819,1,1,1,15027,2,1,1,0.0,47,2,1,5438.576697,4.0,2,30459.64948,6,17347.86393,0,2,25,2015
61,1,1.0,84,41120,1,1,0,15025,3,1,0,0.0,51,2,0,4311.325551,7.0,2,6854.665558,3,15447.6408,0,10,1,2015
53,0,0.0,91,39703,1,1,0,50037,0,0,0,1.0,9,0,0,4332.246602,8.0,2,16513.51635,3,21108.88432,0,10,5,2015
47,0,0.0,67,38510,1,1,0,15021,6,1,0,0.0,68,0,0,4801.139386,6.0,0,8034.054897,4,47064.45519,1,5,22,2016
44,1,1.0,55,37852,0,1,0,80030,0,2,2,0.0,84,0,1,2608.289097,5.0,2,26382.16142,3,16080.52697,1,5,9,2016
32,0,1.0,72,34657,1,0,1,20119,4,1,1,0.0,29,0,1,8010.275669,5.0,2,21723.42359,3,10407.71229,0,7,22,2016
63,0,0.0,68,41438,1,1,0,50039,1,2,1,0.0,76,2,1,4604.717815999999,6.0,0,10352.05291,5,18523.56462,0,5,5,2015
44,0,1.0,76,37827,1,0,0,50022,5,0,0,0.0,27,0,0,7277.086593000001,1.0,2,24886.14821,5,8213.187065,0,9,17,2016
27,1,1.0,68,32946,1,1,1,20107,0,1,0,1.0,17,1,1,7160.6868,2.0,0,33905.97645,3,10443.91978,0,6,6,2016
40,1,1.0,80,36915,1,1,1,80020,0,0,1,1.0,84,0,1,4894.523561999999,5.0,1,23796.214330000003,3,14165.151000000002,0,12,28,2015
43,0,1.0,38,37610,0,1,0,20148,2,1,3,1.0,27,1,1,8271.886902,3.0,2,46496.32979,4,6847.829355,1,5,20,2015
37,1,0.0,78,36099,1,1,0,15055,6,1,1,1.0,5,2,0,5651.822308,4.0,1,42394.575710000005,3,23966.35042,0,9,18,2016
61,0,0.0,80,41091,0,1,1,50054,3,0,1,0.0,17,0,0,4342.570213,11.0,2,20570.70582,3,23172.24189,0,10,6,2016
50,1,1.0,90,39125,0,0,1,15005,5,1,0,0.0,99,0,1,4832.316689,6.0,2,16308.93974,5,18283.619130000003,0,5,23,2015
68,0,0.0,83,42185,0,0,0,15021,1,2,1,0.0,98,0,1,1475.120331,5.0,0,26593.38838,5,12917.03328,0,5,12,2015
39,1,1.0,77,36638,1,1,0,15024,5,2,0,0.0,50,0,0,7186.257168000001,7.0,1,13497.21155,2,11262.65723,0,11,14,2015
25,0,0.0,78,32169,0,1,1,20130,2,2,0,0.0,50,1,1,5368.06059,3.0,0,28746.458660000004,5,26767.64039,0,7,29,2015
39,1,1.0,74,36645,1,0,0,15022,2,0,0,0.0,46,0,0,4927.340527,2.0,2,58909.4285,3,40090.33342,0,1,27,2016
30,1,1.0,94,34013,1,0,1,50005,2,0,0,0.0,69,0,1,3394.902719,6.0,2,21636.68939,1,22648.98424,0,8,3,2016
64,1,1.0,89,41586,0,1,1,80031,1,2,0,0.0,55,0,1,6407.979351,7.0,0,5889.869317000001,2,18657.18478,0,9,29,2015
41,1,0.0,80,37140,1,0,0,20156,0,1,0,0.0,24,0,0,8028.009249,7.0,0,16929.9551,5,22032.55007,0,2,9,2015
28,1,0.0,50,33319,1,0,1,50020,5,0,1,0.0,0,1,0,3230.509524,3.0,1,25415.04548,2,29516.43397,0,9,10,2016
64,1,0.0,86,41585,1,1,0,80011,0,2,0,0.0,92,0,0,3754.99449,4.0,2,40742.68112,3,33917.199239999994,0,2,2,2015
28,1,1.0,84,33329,0,0,1,50041,1,2,0,0.0,93,1,1,3769.977818,2.0,2,16557.96621,0,62318.08404,0,12,8,2015
41,1,0.0,50,37123,1,0,1,15025,1,2,0,0.0,58,0,0,5187.668721,6.0,1,13745.05302,4,7672.030116,1,6,16,2015
57,1,1.0,72,40422,0,1,1,85082,1,2,3,0.0,0,0,1,2120.741351,6.0,0,16091.15399,6,12433.50189,1,3,31,2015
27,0,0.0,64,32980,1,0,1,15006,3,2,0,1.0,80,1,1,983.7591658,4.0,0,12948.09928,3,13818.75346,0,5,12,2016
32,1,0.0,79,34671,1,1,0,85048,0,1,2,0.0,9,2,1,5101.189415,3.0,2,8796.925102,1,17440.4255,0,9,7,2015
30,1,0.0,74,34010,1,1,0,50052,2,1,0,0.0,65,2,1,2941.063584,0.0,2,38041.30805,6,15913.27831,0,7,6,2016
43,1,0.0,89,37617,1,0,1,50009,0,1,0,0.0,78,0,1,3920.862864,5.0,0,28291.73162,5,19171.31415,0,12,28,2015
36,1,1.0,62,35829,1,1,0,85083,0,1,5,0.0,2,0,1,3873.864448,6.0,2,16432.02286,1,22555.71057,0,2,23,2015
73,1,1.0,84,42894,0,1,0,20121,3,1,2,0.0,82,2,1,3966.564652000001,8.0,1,13675.65011,4,8847.616476000001,0,1,22,2015
53,0,0.0,78,39694,1,0,1,80014,1,1,0,1.0,13,0,1,3991.351158,3.0,1,27118.27856,5,23396.28975,0,2,9,2016
41,0,1.0,60,37129,1,1,0,15055,5,0,0,0.0,0,2,1,4011.77436,5.0,0,21758.11815,2,8198.570012999999,1,4,23,2016
42,0,1.0,73,37377,1,1,1,20103,1,0,0,1.0,85,0,1,2466.504085,4.0,1,17047.40289,6,42198.19733,1,4,5,2016
41,0,1.0,57,37131,1,0,0,20140,5,1,0,1.0,49,2,0,6528.117185,4.0,0,26845.74087,6,21517.93288,0,2,20,2016
57,0,0.0,88,40432,1,0,0,50059,3,2,0,0.0,27,2,0,4542.689772,5.0,1,33510.93579,1,31447.20389,0,5,19,2016
47,0,1.0,66,38499,0,1,0,85023,4,2,0,0.0,31,0,0,4737.420821,5.0,2,6974.596887000001,4,27526.80136,0,1,16,2015
36,1,1.0,95,35821,0,1,1,20105,2,2,3,0.0,3,0,1,6096.660865999999,7.0,1,25455.16347,6,18099.23005,0,10,19,2016
40,1,0.0,77,36893,0,1,0,15028,2,1,0,0.0,3,0,0,3559.030697,4.0,2,8831.550206,0,20744.96861,0,4,29,2015
28,1,1.0,83,33317,0,0,1,80042,5,1,1,1.0,95,0,0,5274.589014,7.0,0,25982.56172,6,19321.14438,0,3,5,2016
34,0,1.0,40,35268,1,1,0,20163,3,2,0,1.0,17,2,0,3542.196726,7.0,0,33544.92649,2,10107.76166,0,10,15,2015
47,0,0.0,51,38521,0,1,0,50033,2,2,0,0.0,93,0,0,6552.275082,5.0,0,27758.55264,3,21658.31682,1,4,1,2015
23,0,0.0,82,31362,1,1,1,20135,6,1,0,0.0,19,1,1,4177.852917,6.0,2,62530.84556,4,39498.5654,0,8,30,2015
26,0,1.0,79,32587,1,1,1,80011,6,0,0,0.0,1,1,1,2501.185372,5.0,1,31056.79432,1,11475.02207,0,1,11,2015
50,0,1.0,73,39109,0,1,1,50055,0,1,0,0.0,94,0,1,7481.026817,7.0,0,22245.57138,0,22588.16635,0,5,9,2016
42,0,1.0,85,37370,0,1,0,50002,5,0,0,1.0,36,0,1,8407.502911,5.0,0,23395.40681,0,21086.40306,0,11,14,2015
58,1,1.0,87,40613,1,1,0,15020,6,1,0,1.0,16,1,0,3089.111118,5.0,0,14743.79454,0,21438.46088,0,3,13,2016
27,1,1.0,43,32952,1,1,1,85046,5,1,1,1.0,22,1,1,5594.958307,1.0,0,40546.7373,1,14475.477830000002,1,4,30,2016
33,1,0.0,54,34960,0,1,0,85054,5,1,0,1.0,93,0,0,3515.135513,11.0,0,12794.27637,4,10305.98198,0,5,16,2015
35,0,1.0,41,35552,1,1,1,80025,1,2,0,0.0,0,0,1,5015.329875,3.0,1,12897.47411,2,49103.20487,0,11,17,2015
54,1,1.0,70,39891,1,1,0,20134,4,1,0,1.0,99,2,0,1583.002737,8.0,1,33216.572960000005,4,25153.96176,0,7,24,2015
51,0,0.0,62,39311,1,1,1,85037,5,1,0,0.0,99,0,0,4740.423885,4.0,2,18422.53186,3,75573.81818,0,4,2,2016
25,0,1.0,76,32181,1,1,1,80016,0,1,2,1.0,5,1,1,6151.415943,8.0,0,14344.356430000002,3,13615.54352,0,3,28,2016
54,0,1.0,90,39888,1,1,1,20120,2,1,0,0.0,17,2,1,5482.331552000001,4.0,2,39622.80658,4,11414.26828,0,12,16,2015
23,1,1.0,70,31366,1,1,1,20159,5,0,0,0.0,100,1,1,10078.75987,2.0,1,5018.204082,4,20655.25299,0,7,11,2015
47,1,1.0,66,38500,1,1,0,50041,5,2,0,0.0,50,0,0,7786.616454999999,4.0,1,26839.616980000003,0,17449.39532,0,5,9,2015
38,0,0.0,89,36369,0,1,1,20138,6,0,0,0.0,39,0,1,4012.574744,5.0,0,28305.61629,3,16037.1623,1,2,15,2015
60,0,1.0,60,40953,1,0,0,15025,6,2,0,0.0,40,2,0,4284.236218999999,5.0,2,32017.9405,3,10138.26023,0,4,24,2016
24,1,0.0,76,31784,1,0,1,50025,0,2,2,0.0,8,1,0,1821.963234,5.0,1,14115.11731,3,11156.32806,0,3,21,2016
36,1,0.0,83,35836,0,1,1,15014,2,2,0,0.0,66,0,0,4633.294968,2.0,1,21102.87862,6,25537.87381,0,7,15,2015
37,0,1.0,92,36108,0,1,0,85014,1,2,0,0.0,15,2,0,9846.634941,5.0,1,20546.77929,3,36891.695380000005,0,7,7,2015
25,1,0.0,82,32196,0,0,1,85077,5,0,0,1.0,41,1,0,2461.99101,4.0,2,41238.10505,2,25758.11785,0,4,2,2016
38,1,0.0,63,36363,1,1,1,85063,6,0,0,0.0,91,0,1,2356.252698,12.0,2,8995.842084,1,37227.81856,1,4,24,2016
56,1,0.0,97,40248,1,0,0,20124,2,1,0,0.0,38,0,1,5615.889895,11.0,0,2457.329316,2,24216.62338,0,3,18,2015
44,0,1.0,76,37827,1,0,1,20152,2,1,1,0.0,1,0,0,7123.831131,3.0,1,59068.33798,0,20017.38208,0,5,18,2016
52,0,0.0,58,39490,1,0,1,20107,4,1,2,1.0,98,0,1,8643.868134,5.0,0,37946.61332,3,17662.75105,1,9,23,2016
33,1,0.0,38,34953,1,1,1,50021,0,1,1,0.0,17,0,1,2627.021529,5.0,2,28614.35757,4,29297.75203,0,1,18,2016
40,1,1.0,79,36892,0,0,1,85019,6,1,0,1.0,23,0,1,9874.80532,3.0,1,28497.35424,1,34319.38648,1,2,8,2015
43,0,1.0,87,37594,0,1,1,80016,2,0,0,1.0,41,0,1,3706.662494,6.0,0,20209.76812,5,15256.95854,0,5,6,2015
33,1,1.0,65,34944,1,1,0,15057,4,1,0,0.0,93,2,1,8580.858862000001,8.0,1,28101.48187,3,21018.634680000003,0,7,10,2015
34,1,0.0,73,35261,1,1,0,20101,3,0,1,0.0,90,0,0,4320.81217,3.0,2,32033.98556,4,41977.83644,0,10,22,2015
38,0,0.0,78,36368,1,0,0,15035,3,1,0,0.0,0,0,0,10224.78327,7.0,1,36937.78618,4,16460.40295,0,3,26,2015
50,1,1.0,90,39104,1,0,0,50022,2,1,1,0.0,78,1,1,6280.140226,4.0,1,29694.77869,3,16144.67075,0,10,19,2016
43,0,1.0,74,37615,1,1,1,85035,2,0,2,0.0,50,0,0,4715.815206,4.0,0,40958.85297,4,23770.46329,1,1,21,2015
41,0,1.0,87,37123,0,0,1,80020,6,1,1,0.0,50,2,0,3824.098101,7.0,1,64304.9149,2,14368.40521,0,1,3,2016
54,1,0.0,88,39904,1,1,0,20109,2,2,3,1.0,0,2,1,8373.303037,5.0,0,15414.52651,5,28470.90609,0,6,1,2016
